experiment_name,pipeline,visual_pipeline,normalization,seed,epochs,mode,epoch,precision,recall,mAP50,mAP50_95,train_box_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_cls_loss,val_dfl_loss
pipeline_A_N0_e50_gpu_seed7,A_N0,A,N0,7,50,final_epoch,50,0.75436,0.7037,0.757,0.53498,0.66981,0.58777,1.02174,1.04868,0.98954,1.26248
pipeline_A_N0_e50_gpu_seed42,A_N0,A,N0,42,50,final_epoch,50,0.77312,0.68066,0.75832,0.53526,0.66948,0.58235,1.02264,1.0461,1.00457,1.26037
pipeline_A_N0_e50_gpu_seed123,A_N0,A,N0,123,50,final_epoch,50,0.7478,0.69556,0.74365,0.52448,0.67089,0.59177,1.02454,1.05014,1.0102,1.26332
pipeline_A_N1_e50_gpu_seed7,A_N1,A,N1,7,50,final_epoch,50,0.79372,0.66713,0.75581,0.53518,0.67014,0.59027,1.02303,1.04489,0.99474,1.25671
pipeline_A_N1_e50_gpu_seed42,A_N1,A,N1,42,50,final_epoch,50,0.77476,0.67603,0.75473,0.53116,0.66989,0.58351,1.0258,1.04702,0.99554,1.2664
pipeline_A_N1_e50_gpu_seed123,A_N1,A,N1,123,50,final_epoch,50,0.75371,0.68365,0.74679,0.52703,0.67038,0.59008,1.02183,1.04501,1.00903,1.26235
pipeline_B_N0_e50_gpu_seed7,B_N0,B,N0,7,50,final_epoch,50,0.75265,0.67047,0.73925,0.51894,0.69392,0.61665,1.04,1.06958,1.03963,1.27775
pipeline_B_N0_e50_gpu_seed42,B_N0,B,N0,42,50,final_epoch,50,0.75519,0.67093,0.73531,0.51525,0.69445,0.61209,1.03919,1.06009,1.04153,1.27759
pipeline_B_N0_e50_gpu_seed123,B_N0,B,N0,123,50,final_epoch,50,0.77494,0.65137,0.73189,0.51325,0.68745,0.61437,1.03682,1.07838,1.05289,1.29212
pipeline_B_N1_e50_gpu_seed7,B_N1,B,N1,7,50,final_epoch,50,0.73192,0.68597,0.73523,0.51763,0.69286,0.61235,1.03899,1.06851,1.04585,1.2823
pipeline_B_N1_e50_gpu_seed42,B_N1,B,N1,42,50,final_epoch,50,0.77468,0.65203,0.73038,0.51084,0.68966,0.61326,1.03803,1.07293,1.04529,1.28934
pipeline_B_N1_e50_gpu_seed123,B_N1,B,N1,123,50,final_epoch,50,0.79606,0.64906,0.73614,0.518,0.69415,0.61746,1.04024,1.07077,1.03928,1.28167
pipeline_C_N0_e50_gpu_seed7,C_N0,C,N0,7,50,final_epoch,50,0.79044,0.68078,0.76139,0.53664,0.67324,0.5897,1.02543,1.05325,0.98714,1.26833
pipeline_C_N0_e50_gpu_seed42,C_N0,C,N0,42,50,final_epoch,50,0.76949,0.67285,0.74997,0.52787,0.67413,0.58357,1.0294,1.05362,1.00076,1.26774
pipeline_C_N0_e50_gpu_seed123,C_N0,C,N0,123,50,final_epoch,50,0.73537,0.71011,0.75313,0.52481,0.67484,0.60036,1.02625,1.05642,1.01135,1.27032
pipeline_C_N1_e50_gpu_seed7,C_N1,C,N1,7,50,final_epoch,50,0.75387,0.69667,0.75318,0.53331,0.68078,0.59869,1.02813,1.0527,1.00223,1.26677
pipeline_C_N1_e50_gpu_seed42,C_N1,C,N1,42,50,final_epoch,50,0.74839,0.68815,0.75299,0.52789,0.67584,0.5862,1.02805,1.05238,1.0019,1.27094
pipeline_C_N1_e50_gpu_seed123,C_N1,C,N1,123,50,final_epoch,50,0.78297,0.66723,0.74376,0.52004,0.67467,0.59851,1.02574,1.05246,1.00672,1.2721
